review_id,product_id,author,title,rating,content,timestamp,is_verified,profile_id,product_attributes,review_length,product_name,review_length_words,normalized_rating
R0000036,B0D6WD2QSQ,Jfitjtv,Not impressed,5.0,I use this every day and it never disappoints. Sound is crystal clear and the bass is excellent.,2022-03-25,0,PROF55870,Color: Black,96,Beats Pill,18,1.0
R0000037,B0D6WD2QSQ,Qtyfadd,Worth it,4.0,"Love the design and portability. Great product, exactly what I needed.",2023-08-01,1,PROF58351,Not Specified,70,Beats Pill,11,0.75
R0000038,B0D6WD2QSQ,Eipyoxj,Great buy,2.0,Very disappointed with the build quality. Sound is tinny and lacks bass.,2022-07-23,1,PROF23356,Not Specified,72,Beats Pill,12,0.25
R0000039,B0D6WD2QSQ,Uobnrbq,Not impressed,5.0,"Battery life is fantastic, lasts all day. Waterproof feature is a big plus.",2023-03-07,1,PROF57472,Color: Black,75,Beats Pill,13,1.0
R0000040,B0D6WD2QSQ,Tzhvnml,Decent product,4.0,I use this every day and it never disappoints. Sound is crystal clear and the bass is excellent.,2022-10-02,0,PROF46559,Color: White,96,Beats Pill,18,0.75
R0000041,B0D6WD2QSQ,Mpjawef,Decent product,3.0,Decent speaker but there are better options.,2022-12-15,1,PROF82848,Not Specified,44,Beats Pill,7,0.5
R0000042,B0D6WD2QSQ,Csmtrqm,Decent product,4.0,"Amazing sound quality, really impressed! The Bluetooth range is impressive.",2022-04-06,1,PROF41890,Color: White,75,Beats Pill,10,0.75
R0000043,B0D6WD2QSQ,Nltishg,Decent product,1.0,"Not worth the price at all. Returned it immediately, very poor quality.",2022-07-17,1,PROF35105,Color: Black,71,Beats Pill,12,0.0
R0000044,B0D6WD2QSQ,Ptpzvhj,Worth it,5.0,Love the design and portability. I use this every day and it never disappoints.,2023-12-27,0,PROF17146,Color: Red,79,Beats Pill,14,1.0
R0000045,B0D6WD2QSQ,Dwmwoml,Decent product,4.0,"The Bluetooth range is impressive. Battery life is fantastic, lasts all day.",2022-02-22,0,PROF18564,Not Specified,76,Beats Pill,12,0.75
R0000046,B0D6WD2QSQ,Qbdohzd,Worth it,5.0,Excellent build quality for the price. I use this every day and it never disappoints.,2023-09-13,1,PROF69049,Not Specified,85,Beats Pill,15,1.0
R0000047,B0D6WD2QSQ,Zhqptyf,Great buy,4.0,"I use this every day and it never disappoints. Battery life is fantastic, lasts all day.",2023-11-08,1,PROF32782,Color: White,88,Beats Pill,16,0.75
R0000048,B0D6WD2QSQ,Krmahhw,Decent product,5.0,"The Bluetooth range is impressive. Great product, exactly what I needed.",2022-08-28,1,PROF65723,Size: Standard,72,Beats Pill,11,1.0
R0000049,B0D6WD2QSQ,Dgdbupv,Great buy,5.0,"Great product, exactly what I needed. The Bluetooth range is impressive.",2023-03-26,1,PROF62757,Not Specified,72,Beats Pill,11,1.0
R0000050,B0D6WD2QSQ,Mcbligc,Great buy,3.0,"Average sound quality, nothing to write home about.",2024-05-06,1,PROF85529,Size: Standard,51,Beats Pill,8,0.5
R0000051,B0D6WD2QSQ,Qxepqmc,Decent product,5.0,"Amazing sound quality, really impressed! Sound is crystal clear and the bass is excellent.",2022-12-08,0,PROF31079,Size: Standard,90,Beats Pill,14,1.0
R0000052,B0D6WD2QSQ,Hyvolii,Great buy,5.0,Very easy to set up and connect. Excellent build quality for the price.,2023-02-18,1,PROF64165,Size: Standard,71,Beats Pill,13,1.0
R0000053,B0D6WD2QSQ,Qmlbgdh,Great buy,5.0,"Amazing sound quality, really impressed! Love the design and portability.",2023-05-12,1,PROF30758,Color: Black,73,Beats Pill,10,1.0
R0000054,B0D6WD2QSQ,Kfvcyqe,Decent product,5.0,"Battery life is fantastic, lasts all day. The Bluetooth range is impressive.",2022-10-26,1,PROF71894,Not Specified,76,Beats Pill,12,1.0
R0000055,B0D6WD2QSQ,Jxnwwhu,Decent product,5.0,Love the design and portability. I use this every day and it never disappoints.,2024-03-17,1,PROF49132,Color: Black,79,Beats Pill,14,1.0
R0000056,B0D6WD2QSQ,Mdoiool,Worth it,5.0,Waterproof feature is a big plus. Waterproof feature is a big plus.,2022-07-13,1,PROF40613,Not Specified,67,Beats Pill,12,1.0
R0000057,B0D6WD2QSQ,Mxjzuqd,Decent product,2.0,Battery drains way too fast. Stopped working after a few months.,2022-05-10,1,PROF23069,Color: Black,64,Beats Pill,11,0.25
R0000058,B0D6WD2QSQ,Adwzbug,Great buy,3.0,Works as described.,2023-02-12,1,PROF51505,Color: Red,19,Beats Pill,3,0.5
R0000059,B0D6WD2QSQ,Grhfczt,Not impressed,2.0,The button layout is confusing. Stopped working after a few months.,2022-04-13,1,PROF13794,Color: White,67,Beats Pill,11,0.25
R0000060,B0D6WD2QSQ,Hjdnoue,Not impressed,4.0,"Amazing sound quality, really impressed! Very easy to set up and connect.",2024-06-10,1,PROF75230,Not Specified,73,Beats Pill,12,0.75
R0000061,B0D6WD2QSQ,Qlrxmho,Decent product,4.0,Waterproof feature is a big plus. Sound is crystal clear and the bass is excellent.,2022-12-20,1,PROF42780,Size: Standard,83,Beats Pill,15,0.75
R0000062,B0D6WD2QSQ,Kmgoozh,Not impressed,4.0,"I use this every day and it never disappoints. Battery life is fantastic, lasts all day.",2023-11-06,0,PROF84177,Color: Red,88,Beats Pill,16,0.75
R0000063,B0D6WD2QSQ,Vxufufe,Worth it,5.0,"Amazing sound quality, really impressed! Waterproof feature is a big plus.",2024-02-13,0,PROF92242,Size: Standard,74,Beats Pill,11,1.0
R0000064,B0D6WD2QSQ,Ajdxikf,Decent product,4.0,"Amazing sound quality, really impressed! Battery life is fantastic, lasts all day.",2024-06-16,1,PROF31567,Not Specified,82,Beats Pill,12,0.75
R0000065,B0D6WD2QSQ,Hwumbtf,Not impressed,4.0,"Battery life is fantastic, lasts all day. I use this every day and it never disappoints.",2023-11-22,1,PROF21836,Not Specified,88,Beats Pill,16,0.75
R0000066,B0D6WD2QSQ,Djtgjqj,Great buy,5.0,"Excellent build quality for the price. Amazing sound quality, really impressed!",2023-04-28,1,PROF89964,Not Specified,79,Beats Pill,11,1.0
R0000067,B0D6WD2QSQ,Qmsqdba,Great buy,3.0,Does the job but nothing special.,2022-04-29,1,PROF60940,Color: White,33,Beats Pill,6,0.5
R0000068,B0D6WD2QSQ,Tyktekc,Decent product,5.0,I use this every day and it never disappoints. Very easy to set up and connect.,2023-02-22,1,PROF38477,Color: Black,79,Beats Pill,16,1.0
R0000069,B0D6WD2QSQ,Wcrozjk,Not impressed,2.0,The button layout is confusing. The button layout is confusing.,2022-05-06,1,PROF94109,Color: Black,63,Beats Pill,10,0.25
R0000070,B0D6WD2QSQ,Izufvop,Decent product,5.0,"Waterproof feature is a big plus. Amazing sound quality, really impressed!",2022-08-27,0,PROF46342,Color: White,74,Beats Pill,11,1.0
R0000071,B0D6WD2QSQ,Ucwdjup,Great buy,5.0,Sound is crystal clear and the bass is excellent. Sound is crystal clear and the bass is excellent.,2022-09-29,1,PROF78955,Color: White,99,Beats Pill,18,1.0
R0000072,B0D6WD2QSQ,Muncnyb,Decent product,3.0,It is okay for the price.,2024-06-06,0,PROF17972,Not Specified,25,Beats Pill,6,0.5
R0000073,B0D6WD2QSQ,Cslxidd,Decent product,1.0,The button layout is confusing. Battery drains way too fast.,2023-08-23,1,PROF69469,Not Specified,60,Beats Pill,10,0.0
R0000074,B0D6WD2QSQ,Ucrwowl,Decent product,5.0,The Bluetooth range is impressive. Waterproof feature is a big plus.,2023-02-28,1,PROF64524,Not Specified,68,Beats Pill,11,1.0
R0000075,B0D6WD2QSQ,Rjdxbvc,Decent product,5.0,"Great product, exactly what I needed. Very easy to set up and connect.",2024-01-27,0,PROF86869,Color: White,70,Beats Pill,13,1.0
R0000076,B0D6WD2QSQ,Djrtwsz,Great buy,5.0,The Bluetooth range is impressive. The Bluetooth range is impressive.,2022-12-27,1,PROF30280,Not Specified,69,Beats Pill,10,1.0
R0000077,B0D6WD2QSQ,Jochflo,Great buy,5.0,I use this every day and it never disappoints. Love the design and portability.,2023-09-29,1,PROF13794,Not Specified,79,Beats Pill,14,1.0
R0000078,B0D6WD2QSQ,Iiawokd,Great buy,2.0,Very disappointed with the build quality. Not worth the price at all.,2022-02-01,1,PROF59308,Size: Standard,69,Beats Pill,12,0.25
R0000079,B0D6WD2QSQ,Jsuocbe,Great buy,4.0,Excellent build quality for the price. I use this every day and it never disappoints.,2023-11-22,1,PROF96761,Color: Red,85,Beats Pill,15,0.75
R0000080,B0D6WD2QSQ,Lhtclhr,Decent product,3.0,Decent speaker but there are better options.,2023-11-15,1,PROF61807,Color: Black,44,Beats Pill,7,0.5
R0000081,B0D6WD2QSQ,Hfdgiat,Worth it,5.0,"Waterproof feature is a big plus. Amazing sound quality, really impressed!",2023-01-25,1,PROF19447,Not Specified,74,Beats Pill,11,1.0
R0000082,B0D6WD2QSQ,Lcilkqh,Worth it,5.0,"Excellent build quality for the price. Amazing sound quality, really impressed!",2022-11-29,1,PROF57428,Not Specified,79,Beats Pill,11,1.0
R0000083,B0D6WD2QSQ,Gpnkiii,Great buy,4.0,"Great product, exactly what I needed. Excellent build quality for the price.",2023-06-07,1,PROF55793,Not Specified,76,Beats Pill,12,0.75
R0000084,B0D6WD2QSQ,Dfptreu,Not impressed,2.0,"Returned it immediately, very poor quality. Very disappointed with the build quality.",2024-02-12,1,PROF92210,Size: Standard,85,Beats Pill,12,0.25
R0000085,B0D6WD2QSQ,Mqupjbm,Decent product,4.0,Very easy to set up and connect. Sound is crystal clear and the bass is excellent.,2023-01-13,0,PROF90610,Color: Black,82,Beats Pill,16,0.75
R0000086,B0D6WD2QSQ,Pytbxoe,Worth it,4.0,Waterproof feature is a big plus. The Bluetooth range is impressive.,2023-05-29,1,PROF23566,Color: Black,68,Beats Pill,11,0.75
R0000087,B0D6WD2QSQ,Egllnej,Decent product,5.0,"Very easy to set up and connect. Great product, exactly what I needed.",2023-02-23,0,PROF92691,Size: Standard,70,Beats Pill,13,1.0
R0000088,B0D6WD2QSQ,Okgwzpd,Worth it,5.0,"Very easy to set up and connect. Great product, exactly what I needed.",2023-11-11,1,PROF95990,Color: Red,70,Beats Pill,13,1.0
R0000089,B0D6WD2QSQ,Yijuvrv,Great buy,5.0,Excellent build quality for the price. Sound is crystal clear and the bass is excellent.,2023-12-03,1,PROF76648,Size: Standard,88,Beats Pill,15,1.0
R0000090,B0D6WD2QSQ,Efymfdc,Great buy,4.0,"Very easy to set up and connect. Amazing sound quality, really impressed!",2022-04-14,1,PROF91006,Size: Standard,73,Beats Pill,12,0.75
R0000091,B0D6WD2QSQ,Eesqxsb,Worth it,3.0,Does the job but nothing special.,2024-01-07,1,PROF68841,Not Specified,33,Beats Pill,6,0.5
R0000092,B0D6WD2QSQ,Zuxfrol,Not impressed,5.0,Love the design and portability. The Bluetooth range is impressive.,2024-03-07,1,PROF31241,Not Specified,67,Beats Pill,10,1.0
R0000093,B0D6WD2QSQ,Gqwocvw,Worth it,5.0,Love the design and portability. Waterproof feature is a big plus.,2024-02-21,1,PROF77286,Color: Red,66,Beats Pill,11,1.0
R0000094,B0D6WD2QSQ,Xvxykkj,Decent product,5.0,Sound is crystal clear and the bass is excellent. Excellent build quality for the price.,2022-03-25,0,PROF51770,Color: White,88,Beats Pill,15,1.0
R0000095,B0D6WD2QSQ,Dhvsdsl,Great buy,5.0,"Great product, exactly what I needed. Very easy to set up and connect.",2022-03-23,1,PROF29597,Color: Red,70,Beats Pill,13,1.0
R0000096,B0D6WD2QSQ,Chhbkul,Great buy,4.0,The Bluetooth range is impressive. Waterproof feature is a big plus.,2023-05-27,1,PROF28818,Size: Standard,68,Beats Pill,11,0.75
R0000098,B0D6WD2QSQ,Auitqut,Decent product,4.0,Excellent build quality for the price. Very easy to set up and connect.,2022-02-15,1,PROF94252,Not Specified,71,Beats Pill,13,0.75
R0000099,B0D6WD2QSQ,Medsyaf,Decent product,1.0,Very disappointed with the build quality. The button layout is confusing.,2022-02-12,1,PROF81176,Color: Red,73,Beats Pill,11,0.0
R0000100,B0D6WD2QSQ,Tejuwid,Not impressed,3.0,Decent speaker but there are better options.,2023-02-14,1,PROF34486,Not Specified,44,Beats Pill,7,0.5
R0000101,B0D6WD2QSQ,Ugcllze,Great buy,1.0,The button layout is confusing. The button layout is confusing.,2022-04-16,1,PROF50173,Color: Red,63,Beats Pill,10,0.0
R0000102,B0D6WD2QSQ,Ellsxpl,Great buy,5.0,I use this every day and it never disappoints. Waterproof feature is a big plus.,2024-03-21,1,PROF57619,Color: Black,80,Beats Pill,15,1.0
R0000103,B0D6WD2QSQ,Dpuabuj,Great buy,4.0,The Bluetooth range is impressive. Sound is crystal clear and the bass is excellent.,2023-08-04,1,PROF99006,Not Specified,84,Beats Pill,14,0.75
R0000104,B0D6WD2QSQ,Tonkqgc,Not impressed,5.0,I use this every day and it never disappoints. Very easy to set up and connect.,2023-05-27,0,PROF44311,Not Specified,79,Beats Pill,16,1.0
R0000105,B0D6WD2QSQ,Pszfdbe,Decent product,5.0,"Battery life is fantastic, lasts all day. I use this every day and it never disappoints.",2022-03-31,1,PROF18511,Size: Standard,88,Beats Pill,16,1.0
R0000106,B0D6WD2QSQ,Hessejf,Worth it,4.0,The Bluetooth range is impressive. The Bluetooth range is impressive.,2024-03-22,1,PROF13445,Color: White,69,Beats Pill,10,0.75
R0000107,B0D6WD2QSQ,Mzdwbks,Not impressed,4.0,Very easy to set up and connect. The Bluetooth range is impressive.,2023-02-25,0,PROF26426,Not Specified,67,Beats Pill,12,0.75
R0000108,B0D6WD2QSQ,Riwuqez,Great buy,5.0,"Very easy to set up and connect. Great product, exactly what I needed.",2024-06-08,1,PROF49862,Color: Black,70,Beats Pill,13,1.0
R0000109,B0D6WD2QSQ,Siyxvgq,Decent product,4.0,Sound is crystal clear and the bass is excellent. Sound is crystal clear and the bass is excellent.,2022-05-09,0,PROF75873,Not Specified,99,Beats Pill,18,0.75
R0000110,B0D6WD2QSQ,Qxiybwc,Decent product,2.0,Very disappointed with the build quality. Very disappointed with the build quality.,2024-02-29,1,PROF84991,Size: Standard,83,Beats Pill,12,0.25
R0000111,B0D6WD2QSQ,Mqhymur,Great buy,4.0,Excellent build quality for the price. Waterproof feature is a big plus.,2022-03-16,1,PROF64476,Color: White,72,Beats Pill,12,0.75
R0000112,B0D6WD2QSQ,Idwizik,Great buy,3.0,Decent speaker but there are better options.,2023-06-12,1,PROF71141,Color: Red,44,Beats Pill,7,0.5
R0000113,B0D6WD2QSQ,Dbywkzx,Decent product,5.0,"Great product, exactly what I needed. Battery life is fantastic, lasts all day.",2023-08-15,1,PROF75308,Color: White,79,Beats Pill,13,1.0
R0000114,B0D6WD2QSQ,Iaynzfj,Not impressed,5.0,The Bluetooth range is impressive. I use this every day and it never disappoints.,2023-05-22,0,PROF24089,Color: Red,81,Beats Pill,14,1.0
R0000115,B0D6WD2QSQ,Stjkofo,Not impressed,5.0,Excellent build quality for the price. Sound is crystal clear and the bass is excellent.,2023-06-01,1,PROF91689,Not Specified,88,Beats Pill,15,1.0
R0000116,B0D6WD2QSQ,Cjzojdp,Great buy,5.0,"Waterproof feature is a big plus. Great product, exactly what I needed.",2022-02-11,1,PROF53652,Color: Black,71,Beats Pill,12,1.0
R0000117,B0D6WD2QSQ,Pnipezt,Not impressed,5.0,I use this every day and it never disappoints. The Bluetooth range is impressive.,2022-12-11,1,PROF72245,Size: Standard,81,Beats Pill,14,1.0
R0000118,B0D6WD2QSQ,Rzpusra,Worth it,3.0,It is okay for the price.,2023-11-03,0,PROF86483,Size: Standard,25,Beats Pill,6,0.5
R0000119,B0D6WD2QSQ,Sujvgos,Decent product,5.0,I use this every day and it never disappoints. Sound is crystal clear and the bass is excellent.,2023-03-28,1,PROF64127,Not Specified,96,Beats Pill,18,1.0
R0000120,B0D6WD2QSQ,Pmwssno,Not impressed,5.0,Love the design and portability. Excellent build quality for the price.,2023-05-05,1,PROF70249,Color: Red,71,Beats Pill,11,1.0
R0000121,B0D6WD2QSQ,Rwrugmy,Worth it,5.0,The Bluetooth range is impressive. Very easy to set up and connect.,2022-11-02,1,PROF37168,Color: Red,67,Beats Pill,12,1.0
R0000122,B0D6WD2QSQ,Oyshoox,Worth it,5.0,I use this every day and it never disappoints. Very easy to set up and connect.,2022-12-20,0,PROF47700,Color: Red,79,Beats Pill,16,1.0
R0000123,B0D6WD2QSQ,Rtfvhoh,Worth it,4.0,"Great product, exactly what I needed. Very easy to set up and connect.",2024-01-29,0,PROF97796,Color: White,70,Beats Pill,13,0.75
R0000124,B0D6WD2QSQ,Gcimrdz,Not impressed,3.0,Works as described.,2022-06-11,1,PROF72580,Size: Standard,19,Beats Pill,3,0.5
R0000125,B0D6WD2QSQ,Qxconsy,Not impressed,4.0,"Love the design and portability. Battery life is fantastic, lasts all day.",2022-06-29,0,PROF62034,Color: White,74,Beats Pill,12,0.75
R0000126,B0D6WD2QSQ,Zywaocz,Not impressed,4.0,I use this every day and it never disappoints. Sound is crystal clear and the bass is excellent.,2023-10-19,1,PROF45761,Color: White,96,Beats Pill,18,0.75
R0000127,B0D6WD2QSQ,Tqsaihr,Not impressed,5.0,"Love the design and portability. Great product, exactly what I needed.",2023-09-18,1,PROF21368,Not Specified,70,Beats Pill,11,1.0
R0000128,B0D6WD2QSQ,Digggty,Great buy,5.0,"Excellent build quality for the price. Great product, exactly what I needed.",2024-01-11,1,PROF40972,Color: Red,76,Beats Pill,12,1.0
R0000129,B0D6WD2QSQ,Eryxurq,Worth it,1.0,Stopped working after a few months. Sound is tinny and lacks bass.,2023-01-12,1,PROF72676,Color: White,66,Beats Pill,12,0.0
R0000130,B0D6WD2QSQ,Pkomnrf,Great buy,5.0,Sound is crystal clear and the bass is excellent. I use this every day and it never disappoints.,2024-02-12,1,PROF79228,Not Specified,96,Beats Pill,18,1.0
R0000131,B0D6WD2QSQ,Cvxfnew,Worth it,4.0,"Very easy to set up and connect. Great product, exactly what I needed.",2023-11-28,1,PROF21919,Size: Standard,70,Beats Pill,13,0.75
R0000132,B0D6WD2QSQ,Lnlbmus,Great buy,4.0,The Bluetooth range is impressive. I use this every day and it never disappoints.,2024-04-16,1,PROF85800,Size: Standard,81,Beats Pill,14,0.75
R0000133,B0D6WD2QSQ,Ibzybya,Worth it,3.0,It is okay for the price.,2024-02-27,1,PROF59081,Size: Standard,25,Beats Pill,6,0.5
R0000134,B0D6WD2QSQ,Xjrroqj,Not impressed,4.0,Excellent build quality for the price. I use this every day and it never disappoints.,2023-07-05,1,PROF39188,Not Specified,85,Beats Pill,15,0.75
R0000135,B0D6WD2QSQ,Msljfle,Great buy,5.0,"Amazing sound quality, really impressed! Amazing sound quality, really impressed!",2024-06-15,1,PROF90599,Color: Black,81,Beats Pill,10,1.0
R0000136,B0D6WD2QSQ,Capsbtk,Great buy,4.0,"Amazing sound quality, really impressed! Love the design and portability.",2022-08-11,1,PROF40692,Color: White,73,Beats Pill,10,0.75
R0000137,B0D6WD2QSQ,Uvgwznk,Worth it,5.0,Waterproof feature is a big plus. Very easy to set up and connect.,2023-07-25,1,PROF82856,Size: Standard,66,Beats Pill,13,1.0
R0000138,B0D6WD2QSQ,Yruikdj,Worth it,5.0,"I use this every day and it never disappoints. Amazing sound quality, really impressed!",2023-04-30,1,PROF28920,Color: White,87,Beats Pill,14,1.0
R0000139,B0D6WD2QSQ,Zodgfqx,Worth it,4.0,"I use this every day and it never disappoints. Amazing sound quality, really impressed!",2022-04-05,1,PROF59436,Color: Black,87,Beats Pill,14,0.75
R0000140,B0D6WD2QSQ,Buprffx,Worth it,5.0,Waterproof feature is a big plus. Waterproof feature is a big plus.,2022-01-16,0,PROF72773,Color: White,67,Beats Pill,12,1.0
R0000141,B0D6WD2QSQ,Kgihmqi,Not impressed,5.0,Love the design and portability. Waterproof feature is a big plus.,2023-05-25,1,PROF51973,Color: Black,66,Beats Pill,11,1.0
R0000142,B0D6WD2QSQ,Bwtaops,Decent product,4.0,Love the design and portability. Very easy to set up and connect.,2022-07-20,1,PROF84683,Color: White,65,Beats Pill,12,0.75
R0000143,B0D6WD2QSQ,Yitmstl,Worth it,4.0,Love the design and portability. I use this every day and it never disappoints.,2022-12-27,1,PROF34123,Color: White,79,Beats Pill,14,0.75
R0000144,B0D6WD2QSQ,Vbvbadq,Great buy,4.0,"The Bluetooth range is impressive. Amazing sound quality, really impressed!",2022-06-04,1,PROF58916,Color: White,75,Beats Pill,10,0.75
R0000145,B0D6WD2QSQ,Yxranka,Decent product,4.0,"Amazing sound quality, really impressed! Waterproof feature is a big plus.",2023-07-03,1,PROF33496,Color: Black,74,Beats Pill,11,0.75
R0000146,B0D6WD2QSQ,Gqgjucy,Worth it,1.0,Sound is tinny and lacks bass. Sound is tinny and lacks bass.,2022-09-07,0,PROF95686,Color: Red,61,Beats Pill,12,0.0
R0000147,B0D6WD2QSQ,Jmqscvq,Great buy,5.0,"Amazing sound quality, really impressed! Great product, exactly what I needed.",2024-05-28,0,PROF40115,Not Specified,78,Beats Pill,11,1.0
R0000148,B0D6WD2QSQ,Bbyxoay,Worth it,5.0,Love the design and portability. Waterproof feature is a big plus.,2022-08-01,1,PROF20084,Size: Standard,66,Beats Pill,11,1.0
